response,labels
"Hello, I'm sure you are interested in Data Science",14
Happy to have you here,14
Good to see you again,14
"Hi there, how can I help?",14
"Hi, I'm  DS Chatbot",16
I'm ChatBot ,16
Call me ChatBot,16
Have a great learning!,9
Have a nice learning time,9
Enjoy the answers!,9
Have fun with the learning,9
Happy to help!,15
Any time!,15
My pleasure,15
Do enjoy the game,15
Have fun on learning,15
"Sorry, kindly rephrase the question",7
"Sorry, can't understand you",7
Please give me more information,7
Not sure I understand,7
I can guide you through how to get started with Data Science,12
"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from structured and unstructured data, and apply knowledge and actionable insights from data across a broad range of application domains",6
"I know some key words like Machine Language, Deep Learning, AI and IOT to mention a few",6
Ask me a question about Data Science and I will answer to the best of my knowledge,6
"Here we plot each data point in n-dimensional space with the value of each dimension being the value of a particular coordinate. Then, we perform classification by finding the hyper-plane that differentiate the classes very well",4
"Kernel, Regularization, Gamma and Margin are the tuning paramers of SVM ",4
"Kernel tricks are nothing but the transformations applied on input variables which separate non-separable data to separable data. There are 9 different kernel tricks. Examples are Linear, RBF, Polynomial, etc.",4
"All the categorical variables have to be converted to numeric by creating dummy variables, as all the data points have to be plotted on n dimentional space, in addition to this we have tuning parameters like Kernel, Regularization, Gamma & Margin which are mathematical computations that require numeric variables. This is an assumption of SVM",4
The value of Regularization parameter tells the training model as to how much it can avoid misclassifying each training observation,4
"Gamma is the kernel coefficient in the kernel tricks RBF, Polynomial, & Sigmoid. Higher values will make the model more complex and overfits the model",4
"Margin is the separation line to the closest class datapoints. Larger the margin width, better is the classification done. But before even achieving maximum margin, objective of the algorithm is to correctly classify datapoints",4
kernlab is the package used in R for implementing SVM in R,4
ksvm is the function in R to implement SVM in R,4
Hinge Loss is a loss function which penalises the SVM model for inaccurate predictions,4
"It is because of bottom up approach, where initially each observation is considered to be a single cluster and gradually based on the distance measure inidividual clusters will be paired and finally merged as one",0
When the clusters are as much heterogenous as possible and when the observations within each cluster are as much homogenous as possible,0
"None of your data science topics are domain specific. They can be employed in any domain, provided data is available",0
"Using variables like income, education, profession, age, number of children, etc you come with different clusters and each cluster has people with similar socio-economic criteria",0
It would be better if we employ clustering on normalized data as you will get different results for with and without normalization,0
"Linkage is the criteria based on which distances between two clusters is computed. Single, Complete, Average are few of the examples for linkages Single -The distance between two clusters is defined as the shortest distance between two points in each cluster. Complete - The distance between two clusters is defined as the longest distance between two points in each cluster. Average - the distance between two clusters is defined as the average distance between each point in one cluster to every point in the other cluster",0
In Hierarchial Clustering number of clusters will be decided only after looking at the dendrogram,0
"After computing optimal clusters, aggregate measure like mean has to be computed on all variables and then resultant values for all the variables have to be interpreted among the clusters",0
Theoretically it will be between - infinity to + inifinity but normally you have values between -3 to +3,5
"Since the value of z-transform tends to infinity, the ROC of the z-transform does not contain poles, so the answer is True",5
